question,correct_answer,llama_distractor1,llama_distractor2,llama_distractor3,original_distractor1,original_distractor2,original_distractor3
What separates one river system's basin from another river system's basin?,a divide,smile,a mountain,a valley,a bend,a divert,a sink
What system possesses a memory component that allows for an efficient and dramatic response upon reinvasion of the same pathogen?,adaptive immune system,innate immune system,nervous system,circulatory system,incorporate immune system,societal immune system,suggestive immune system
Honeybees doing the waggle dance or spiders spinning a web are examples of what type of behavior?,innate,learned behavior,voluntary behavior,conditioned behavior,intuitive,genuine,learned
"What glands remove water, salts and other wastes from skin?",sweat glands,ruglands,emotional glands,ecrement glands,sex glands,push glands,water glands
A series of arches that support the gills of aquatic amphibians and fish are known as what?,branchial arches,fin rays,pelvic fins,lateral lines,cochlear arches,aquatic arches,scythian arches
"What term, calculated by multiplying heart contractions by stroke volume, means the volume of blood pumped by the heart in one minute?",cardiac output,amount of blood pumped per minute,total peripheral resistance,systemic vascular resistance,liver output,respiratory output,blood output
Birds are thought to have evolved from a group of bipedal dinosaurs called what?,therapods,iguanas,crocodiles,turtles,pteradactyls,sporozoans,staurikosaurus
What is the third class of elements after metals and nonmetals?,metalloids,benzene,insulators,transition metals,halogens,synthetics,noble gases
"Proteins are categorized according to shape and what property, which correlates with it?",solubility,amino acid sequence,molar mass,specific function,viscosity,size,salinity
Melting ice is drastically impacting the number of what at glacier national park?,active glaciers,sea levels,permafrost,ice caps,gaisers,trees,icebergs
What element is present in all organic molecules?,carbon,press,oxygen,nitrogen,oxygen,sodium,hydrogen
A sample of matter that has the same physical and chemical properties throughout itself is known as what?,substance,mixture,compound,element,antimatter,essence,molecule
Hepatitis b is inflammation of which organ?,the liver,kidney,pancreas,heart,the colon,the kidney,the brain
"If a substance has a ph value greater than 7, what does it indicate?",base,acid,neutral,salty,acidic,neutral,volatile
The percent yield is determined by calculating the ratio of actual yield by what?,theoretical yield,actual yield,ratio,the ratio of actual yieldactual yield,past balance,predicted return,actual loss
What are located along convergent and divergent plate boundaries?,volcanoes,cities,mountains,oceans,mezas,megaliths,dunes
What part of the neuron is a large structure with a central nucleus?,cell body,dtendrils,axon terminals,synapses,proteins body,Eye body,Environmental
Hydrogen-based fuel cells were and are used to provide what for manned space vehicles?,electricity,oil,gas,drinking water,light,magnetism,gravity
What are plants that are adapted to very dry environments called?,xerophytes,hydrophytes,mesophytes this one is partially correct but not the exact term used in the context provided,halophytes,succulents,pores,sporozoans
What neurons carry nerve impulses from sense organs and internal organs to the central nervous system?,sensory,motor,afferent,efferent,vascular,autonomic,axons
"Associated with hair follicles, what type of oil gland is found all over the body and helps to lubricate and waterproof the skin and hair?",sebaceous gland,sweat gland,salivary gland,mammary gland,sweat gland,melanin gland,gametes gland
"The five human senses are taste, touch, vision, hearing and one more. what is it?",smell,taste,hearing,touch,perception,audio,fear
How many bones does an adult skeleton have?,206,250,300,225,208,196,192
"Temperature and precipitation determine the types of what that can grow in an area, in turn affecting the animals that live there?",plants,animals,soil,weather,roots,building,birds
What is the transfer of heat by physical contact?,conduction,convection,radiation,evaporation,oxidation,inhibition,diffusion
"What analytical technique, using stained gel, can separate dna fragments or rna molecules and proteins?",gel electrophoresis,90 degrees,centrifugation,ultracentrifugation,microwave electrophoresis,surface electrophoresis,static electrophoresis
Questioning claims based on their scientific verifiability rather than accepting claims based on faith or anecdotes is called what?,scientific skepticism,faith-based inquiry,anecdotal analysis,belief-driven scrutiny,scientific extreme,scientific mimicry,scientific fact
"Animals with better fitness have a better chance of passing their genes onto the next generation, this process is known as?",natural selection,search selection,genetic drift,environmental selection,survival selection,natural evolution,fitness selection
What acids are the structural components of many lipids and may be saturated or unsaturated?,fatty acids,protein,carbohydrates,vitamins,fundamental acids,ionic acids,carbonic acids
Earth's axis is an imaginary line passing through which poles?,north and south,east,west,up,west and south,southwest and south,East and North
What happens when ionic compounds are dissolved in water?,conduct electricity,become glue,turn into a solid,change color,magnetize electricity,repel electricity,deflect electricity
What is the process in which unspecialized cells become specialized in structure and function to perform certain tasks in the body?,differentiation,growth,reproduction,evolution,speciation,transcription,mutation
How many types of basic sensory receptors are there?,five,20,100,42,five,six,four
What bond is the force of attraction that holds together two atoms that share a pair of valence electrons?,covalent,ionic,metallic,hydrogen,polar,hydrogen,metallic
"Above the meristem, the rest of the root is covered with a single layer of what type of cells, which may have root hairs?",epidermal,ground tissue,bundles of vascular tissues,stored starch,dermal,single celled,vegetative
What were the first plants to evolve?,nonvascular plants,vascular plants,seed plants,flower plants,fungi,photoreactive plants,trees
What term describes the distance between two corresponding points on adjacent waves?,wavelength,amplitude,frequency,phase,frequency,threshold,variation
What break down dead organisms and other organic waste and release inorganic molecules back to the environment called?,decomposers,toxins,consuming,disintegrating,detritivores,nematodes,carnivores
What is the science of classifying living things called?,taxonomy,history,evolution,phylogeny,methodology,terminology,botany
"Illustrating how form follows function, long, slender protein strands that make up what tissue are essential for contracting and relaxing?",muscle,bone,skin,hair,tendons,veins,ligaments
What makes marginal lands unsuitable for farming?,drought,soil salinity,topography,poor drainage,flood,pestilence,disease
What happens to water when it freezes?,it expands,it contracts,it becomes less dense,it does not change,changes to gas,it shrinks,changes volume
"The three parts of the human small intestine is the duodenum, jejunum, and what?",ileum,이jeunum,stomach,liver,appendix,colon,cecum
What is the term for the ability of a fluid to exert an upward force on any object placed in it?,buoyancy,billancy,flotancy,liftancy,viscosity,density,resonance
A fuel cell is a galvanic cell that requires a constant external supply of what?,reactants,power,energy,storage,generators,electricity,complexes
"Lichens are not a single organism, but rather an example of a what?",mutualism,parasitism,commensalism,predation,fusion,homogeneous mixture,symbiosis
What theory states that there is no interaction between individual gas particles?,kinetic theory,portes theory,ideal gas law,london dispersion force theory,viscosity theory,vortex theory,Avoidance theory
A vapor light produces visible light by what process?,electroluminescence,light,infrared radiation,radio waves,solutes,luminescent,Solar Energy
"What substance, which forms igneous rock, flows out in rivers of lava when it reaches the surface?",magma,lava,rock,molten metal,granite,soil,fertilizer
What do mammals have under the skin to help insulate the body?,a layer of fat,hair,skin,muscle,bone,nerve cells,cartilage
Certain air pollutants form which liquid when dissolved in water droplets in the air?,acid,sugar,salt,vinegar,water,base,citrus
What element is the most abundant in the universe?,hydrogen,helium,oxygen,nitrogen,oxygen,carbon,helium
"Atoms of a given _______ are identical in size, mass, and other properties.",element,molecule,compound,isotope,molecule,organism,function
Spongy bone is found inside bones and is lighter and less dense than compact bone because it is what?,porous,compact,dense,solid,amorphous,pliable,fibrous
"Animals are heterotrophs, which means that they cannot make their own what?",food,energy,water,air,fuel,energy,habitat
What is the electron domain geometry of ammonia?,tetrahedral,sierra,column,bowling pin,membranes,atoms,neurons
"In humans, fertilization occurs soon after the oocyte leaves this?",ovary,kidney,uterus,stomach,egg,placenta,testes
"Oxygen, carbon dioxide, atp, and nadph are reactants in what process that plants use to produce food?",photosynthesis,respiration,fermentation,cellular respiration,glycolysis,absorbtion,chlorophyll
What is the basic unit of the structure and function of living things?,cell,organ,tissue,organism,atom,molecule,nucleus
The earth's gravitational force causes the moon to do what?,orbit the earth,orbit the sun,escape earths gravity,stall in space,overlap the earth,change size,lose orbit
"When a nerve impulse reaches the end of an axon, what are the chemicals released by the axon called?",neurotransmitters,poisonous substances,hormones,musical notes,neurons,electrolytes,receptors
What do ecosystems absorb on the earth?,energy,co2,pollutants,waste,water,hydrogen,fuel
Under what type of conditions can populations grow exponentially?,ideal,stressful,challenging,limited,pleasant,useful,lush
Malonate plays what negative role on the enzyme succinate dehydrogenase?,inhibitor,certainly three incorrect answers activator,substrate,product,catalyst,pathway,receptor
How many mass extinctions have occurred throughout earth's history?,five,10,20,40,six,four,three
What refers to the ability to change or move matter and is required by all life processes and living things?,energy,law,water,organs,fuel,gravity,enthalpy
What do we call the visible part of the electromagnetic spectrum?,light,radio waves,microwaves,gamma rays,weight,radio,electricity
What type of crust is made of basalt lavas that flow onto the seafloor?,oceanic,continental,sedimentary,metamorphic,exotic,endotopic,warm
What is a large molecule with many repeating units?,polymer,dna,protein,carbohydrate,cells,supermolecule,plasma
"What absorbs, scatters, or reflects most incoming solar radiation in the atmosphere?",clouds and dust,water vapor,carbon dioxide,the ozone layer,clouds and sand,ice and dust,coulds and minerals
How do many mammals control their body temperature?,sweating,regulating body temperature through shivering,controlling body temperature through hibernation,maintaining body temperature through insulation,dieting,homeostasis,itching
"The invention of the wheel is an example of what, which has the goal of solving human problems?",technology,human problems,society,life,industry,concept,evolution
Prokaryotes can reproduce quickly by what?,binary fission,cellular fusion,mitosis,meiosis,multiple fission,solar fission,residual fission
What is defined by its sequence of nucleotides?,nucleic acids,protein,amino acid,carbohydrate,structural acids,proteins acids,amino acids
What in roundworms is a partial body cavity filled with fluid?,pseudocoelom,cartilage,bone,muscle,abdomen,cocklebur,spicule
Which body system breaks down food and absorbs nutrients?,digestive system,respiratory system,circulatory system,immune system,skeletal system,circulation system,hormonal system
What disease is unpreventable in the type one form but may be prevented by diet if it is of the second type?,diabetes,heart disease,cancer,obesity,Obesity,TB,Cancer
What do you call a chemical process used to treat water by destroying a contaminant?,chemical remediation,water treatment,contaminant removal process,pollutant neutralization,basic remediation,toxic remediation,carbon remediation
What occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic?,ocean acidification,ocean acidification climate change,eutrophication,pollution,ocean vaporization,acid rain,desalinization
What kind of muscle is the heart mainly composed of?,cardiac muscle,skeletal muscle,smooth muscle blood vessels only,connective tissue,respiratory muscle,idealized muscle,nerve muscle
What branch of science explains much of what you observe and do in your daily life?,physical science,math science,social science,biology science,temperature science,psychology,astronomy
"When present in large volumes, what color hue can water emit?",blue,pink,green,purple,white,pink,yellow
What prevents new ovarian follicles from developing and suppresses uterine contractility?,progesterone,estrogen,hcg,pregnancy weight gain,germination,glucose,estrogen
What type of bombs put a much larger fraction of their output into thermal energy than do conventional bombs?,nuclear,chemical,biological,conventional,dense bombs,dirty bombs,TNT
"The majority of elements, including iron and copper, are of what type?",metals,nonmetal,hydrogen,oxygen,oils,acids,minerals
What happens to water vapor as it rises?,it cools,wings,explodes,evaporates,it warms,it vibrates,it disperses
The bilaterians are divided into deuterostomes and what else?,protostomes,icación,eumetazoa,cnidarians,protozoa,progestins,gymnosperms
What is it called when birds keep their eggs warm while the embryos inside develop?,incubation,breeding,hatching,broodiness,insulation,spawning,fertilization
"What leaves behind crescent-shaped scars on a hillside and  may be caused by a layer of slippery, wet clay underneath the rock and soil on a hillside?",slump,landslide,erosion,weathering,creep,slide,shearing
What is the organ system that brings oxygen into the body and releases carbon dioxide?,lungs,skin,liver,heart,liver,brain,kidneys
The ladybug and the frog both start as eggs and go through what process?,metamorphosis,bataille,evolution,mutation,transition,parthenogenesis,proboscis
What formula  shows only the kinds and numbers of atoms in a molecule?,molecular formula,structural formula,condensed structural formula,molecular structure,plasma formula,atomic formula,nucleus formula
"In multicellular organisms, essential biological functions are carried out by what?",organs,cells,tissues,organelles,atoms,cells,molecules
"Fahrenheit, celsius, and kelvin are all units which measure what?",temperature,distance,weight,time,brightness,radiation,precipitation
Many plants respond to the days growing shorter in the fall by doing what?,going dormant,storing water,producing fruit,growing taller,turning to liquid,migrating,growing faster
What are the smallest particles of matter?,atoms,molecules,protons,electrons,ions,molecules,electrons
How do animals obtain nitrogen?,eating plants or organisms,nitrogen gas,products of decomposition,other bacteria,eating plants or sediments,eating plants other animals,eating plants or bugs
Hydrophilic molecules generally avoid what other kinds of molecules?,hydrophobic,icy,metallic,polar,aqueous,lipophilic,neutral
The name of a simple covalent compound can be determined from its chemical this?,formula,chemical structure,chemical equation,molecular model,models,configuration,map
Asteroids are not geologically active. which is the only way they can change?,a collision,asteroids can change due to,asteroids can change due to,asteroids can change due to,propulsion,combustion,expansion
What term describes reproducing by external fertilization after the female sheds large numbers of small eggs?,oviparous,viviparous,ovulate,hatching,glandular,glaucous,homozygous
Solid carbon dioxide is called what?,dry ice,frozen carbon dioxide,liquid carbon dioxide,solid water,carbohydrate,liquid nitrogen,blue ice
"While ecosystems need a constant input of energy for their organisms, what do ecosystems recycle?",matter,energy,nutrients,organisms,water,light,food
Most mercury compounds decompose when they are?,heated,abraded,cooled,purified,mixed,filled,cooled
"Animal behavior can be said to be controlled by genetics and experiences, also known as nature and what?",nurture,nature,gensis,environment,growth,evolution,interaction
The first two electrons in lithium fill the 1s orbital and have the same sets of four what as the two electrons in helium?,quantum numbers,1s2,1s2p,1s2d,decay numbers,gravity numbers,kinetic numbers
What is the term for something changing from water to ice?,freezing,thawing,boiling,melting,evaporation,boiling,melting
What is an individual with more than the correct number of chromosome sets called?,polyploid,registering,switches,inverted,autotrophs,autosome,diploid
Most of the fresh water on earth is tied up in a solid form. what are they called?,glaciers,lakes,rivers,underground aquifers,sediments,lakes,oceans
Hertz proved that what type of waves travel at the speed of light?,electromagnetic,sound waves,water waves,light waves,sound,seismic,tsunamis
"Specific antigens on the surface of red blood cells determine what, which is important in cases of transfusion?",blood type,red blood cell count,blood type antigens,blood protein antigens,blood count,blood amount,blood form
Where do extrusive igneous rocks cool at?,surface,underground,inside the earths mantle,deep beneath the ocean,underground,in volcanoes,in water
What is citrate an ionized form of?,citric acid,water,sugar,salt,carbonic acid,protein,hydrochloric acid
What functions in removing phosphorylated amino acids from proteins?,phosphatase,no longer needed,infected by a virus,all of the above,sucrose,carbonate,peptide
What type of biomes have water containing little or no salt?,freshwater biomes,saltwater biomes,desert biomes,polar biomes,coastal biomes,aquatic biomes,marine biomes
Electricity consists of a constant stream of what tiny particles?,electrons,protons,atoms,molecules,atoms,quarks,ions
What is a solution with a ph lower than 7 called?,acid,base,alkaline,basic,basic,neutral,dioxide
"Which division of the peripheral nervous system interprets signals, while the motor division sends signals?",sensory,motor,sympathetic,parasympathetic,kinetic,olfactory,automatic
What is the process of filtering waste from the kidneys?,dialysis,hemodialysis,peritoneal dialysis,laparoscopic surgery,virus,stones,inflammation
The energy required to remove an electron from a gaseous atom is called?,ionization energy,valeance energy,electron affinity,ionization potential,vapor energy,potential energy,fission energy
"The four basic types of tissue are epithelial, muscle, connective, and what?",nervous,cartilage,bone,blood,regulatory,digestive,circulatory
What theory states that all matter consists of constantly moving particles?,kinetic theory of matter,atomistic theory,particle theory of matter,particle-in-a-box model,inertia theory,conservtion of matter,Big Bang theory
Plant-like protists contains chloroplasts and make food by what process?,photosynthesis,gas digestion,protein synthesis,cellular respiration,digestion,chemical processes,farming
What is written as systolic over diastolic?,blood pressure,sleep,nutrition,stress,blood position,fractional pressure,brain pressure
"When a species changes in small ways over time, what is it called?",microevolution,macroevolution,speciation,genetic drift,nanoevolution,minievolution,small evolution
What is the purpose of a bird using flashy displays?,to attract mates,to defend territories,to blend in with their surroundings,to communicate with other birds,to protect their territory,to dissuade predators,to signal feeding
"What do you call the ancient cores of continents, where the earliest continental crust is now found?",cratons,dinner,dinosaurs,diamonds,craters,escarpments,mantles
"In the case of the moose, predation is an additional factor that regulates what?",population,seed dispersal,germination,migrations,speed,color,weight
Where do short period comets come from?,kuiper belt,scorpio,saturn,jupiter,milky way,vesta belt,photon belt
What are atoms with unstable nuclei are considered to be?,radioactive,search for stable,radio-lucent,stable-lucent,ions,unstable,destructive
In what form is atmospheric sulfur found?,sulfur dioxide (so2),sulfuric acid h2so4,weak sulfuric acid h2so4,hydrogen sulfide h2s,formaldehyde,sulfuric acid,sulfur monoxide
